CookerStat, GenerateAssetRegistry=0.022940, Initialize=0.118330, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C6A7423D4862ED9957747EBB1447852C__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=385, Duration=4.390478, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_43FBA154414A529F0E2560A18051E9A4__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=722, Duration=5.727999, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_53570A9242723F72C46FFA84510B0654__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=1459, Duration=6.964393, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3938C68C4BF5F65748E32EA8638D1771__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=409, Duration=5.509455, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_860B249D4616E3F263E2F2A6CBF8B5D1__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=632, Duration=4.336748, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3E8B588A4DAC01F17DD71FA3F5696EE9__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=781, Duration=4.158351, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AE3ADEA14CFD448E41F3F9AD0BADF659__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=817, Duration=4.638299, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4394C20D4E44BFFADB261186F73E900C__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=1243, Duration=3.897246, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4A52E543407A64B652B6568197CFE6A3__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=328, Duration=4.893370, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_260A4F5E477C7A7888DCBC996DBE59AA__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=1105, Duration=4.226573, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
